RecordType,Date,Time,Temperature,Humidity,AmbLight,Battery,MotDetects60secs,MotDets0-9secs,MotDets10-19secs,MotDets20-29secs,MotDets30-39secs,MotDets40-49secs,MotDets50-59secs,Lat,Long,Timestamp
1,25-06-02,19:09:00,21,52,0,160,0,0,0,0,0,0,0,34.17472,-119.25857,25/06/02 19:09:00
1,25-06-02,19:10:00,21,52,0,161,0,0,0,0,0,0,0,34.17472,-119.25857,25/06/02 19:10:00
1,25-06-02,19:11:00,21,52,0,161,0,0,0,0,0,0,0,34.17472,-119.25857,25/06/02 19:11:00
1,25-06-02,19:12:00,21,52,0,160,0,0,0,0,0,0,0,34.17472,-119.25857,25/06/02 19:12:00
1,25-06-02,19:13:00,21,52,0,160,0,0,0,0,0,0,0,34.17472,-119.25857,25/06/02 19:13:00
1,25-06-02,19:14:00,21,51,0,161,0,0,0,0,0,0,0,34.17472,-119.25857,25/06/02 19:14:00
1,25-06-02,19:15:00,21,52,0,161,0,0,0,0,0,0,0,34.17472,-119.25857,25/06/02 19:15:00
1,25-06-02,19:16:00,21,52,0,160,0,0,0,0,0,0,0,34.17472,-119.25857,25/06/02 19:16:00
1,25-06-02,19:17:00,21,52,0,160,0,0,0,0,0,0,0,34.17472,-119.25857,25/06/02 19:17:00
1,25-06-02,19:18:00,21,52,0,160,0,0,0,0,0,0,0,34.17472,-119.25857,25/06/02 19:18:00
1,25-06-02,19:19:00,21,52,0,160,0,0,0,0,0,0,0,34.17472,-119.25857,25/06/02 19:19:00
1,25-06-02,19:20:00,21,52,0,160,0,0,0,0,0,0,0,34.17472,-119.25857,25/06/02 19:20:00
1,25-06-02,19:21:00,21,52,0,160,0,0,0,0,0,0,0,34.17472,-119.25857,25/06/02 19:21:00
1,25-06-02,19:22:00,21,52,0,161,0,0,0,0,0,0,0,34.17472,-119.25857,25/06/02 19:22:00
1,25-06-02,19:23:00,21,52,0,161,0,0,0,0,0,0,0,34.17472,-119.25857,25/06/02 19:23:00
1,25-06-02,19:24:00,21,51,0,160,0,0,0,0,0,0,0,34.17472,-119.25857,25/06/02 19:24:00
1,25-06-02,19:25:00,21,52,0,160,0,0,0,0,0,0,0,34.17472,-119.25857,25/06/02 19:25:00
1,25-06-02,19:26:00,21,52,0,160,0,0,0,0,0,0,0,34.17472,-119.25857,25/06/02 19:26:00
1,25-06-02,19:27:00,21,52,0,160,0,0,0,0,0,0,0,34.17472,-119.25857,25/06/02 19:27:00
1,25-06-02,19:28:00,21,52,0,160,0,0,0,0,0,0,0,34.17472,-119.25857,25/06/02 19:28:00
1,25-06-02,19:29:00,21,52,0,160,0,0,0,0,0,0,0,34.17472,-119.25857,25/06/02 19:29:00
1,25-06-02,19:30:00,21,52,0,160,0,0,0,0,0,0,0,34.17472,-119.25857,25/06/02 19:30:00
1,25-06-02,19:31:00,21,52,0,160,0,0,0,0,0,0,0,34.17472,-119.25857,25/06/02 19:31:00
1,25-06-02,19:32:00,21,52,0,160,0,0,0,0,0,0,0,34.17472,-119.25857,25/06/02 19:32:00
1,25-06-02,19:33:00,21,52,0,160,0,0,0,0,0,0,0,34.17472,-119.25857,25/06/02 19:33:00
1,25-06-02,19:34:00,21,51,0,160,0,0,0,0,0,0,0,34.17472,-119.25857,25/06/02 19:34:00
1,25-06-02,19:35:00,21,52,0,160,0,0,0,0,0,0,0,34.17472,-119.25857,25/06/02 19:35:00
1,25-06-02,19:36:00,21,52,0,160,0,0,0,0,0,0,0,34.17472,-119.25857,25/06/02 19:36:00
1,25-06-02,19:37:00,21,52,0,160,0,0,0,0,0,0,0,34.17472,-119.25857,25/06/02 19:37:00
1,25-06-02,19:38:00,21,52,0,160,0,0,0,0,0,0,0,34.17472,-119.25857,25/06/02 19:38:00
1,25-06-02,19:39:00,21,52,0,160,0,0,0,0,0,0,0,34.17472,-119.25857,25/06/02 19:39:00
1,25-06-02,19:40:00,21,52,0,160,0,0,0,0,0,0,0,34.17472,-119.25857,25/06/02 19:40:00
1,25-06-02,19:41:00,21,52,0,160,0,0,0,0,0,0,0,34.17472,-119.25857,25/06/02 19:41:00
1,25-06-02,19:42:00,21,52,0,159,0,0,0,0,0,0,0,34.17472,-119.25857,25/06/02 19:42:00
1,25-06-02,19:43:00,21,52,0,161,0,0,0,0,0,0,0,34.17472,-119.25857,25/06/02 19:43:00
1,25-06-02,19:44:00,21,51,0,160,0,0,0,0,0,0,0,34.17472,-119.25857,25/06/02 19:44:00
1,25-06-02,19:45:00,21,52,0,160,0,0,0,0,0,0,0,34.17472,-119.25857,25/06/02 19:45:00
1,25-06-02,19:46:00,21,52,0,160,0,0,0,0,0,0,0,34.17472,-119.25857,25/06/02 19:46:00
1,25-06-02,19:47:00,21,52,0,160,0,0,0,0,0,0,0,34.17472,-119.25857,25/06/02 19:47:00
1,25-06-02,19:48:00,21,52,0,160,0,0,0,0,0,0,0,34.17472,-119.25857,25/06/02 19:48:00
1,25-06-02,19:49:00,21,52,0,160,0,0,0,0,0,0,0,34.17472,-119.25857,25/06/02 19:49:00
1,25-06-02,19:50:00,21,52,0,159,0,0,0,0,0,0,0,34.17472,-119.25857,25/06/02 19:50:00
1,25-06-02,19:51:00,21,52,0,160,0,0,0,0,0,0,0,34.17472,-119.25857,25/06/02 19:51:00
1,25-06-02,19:52:01,21,51,0,160,1,0,0,0,0,1,0,34.17472,-119.25857,25/06/02 19:52:01
1,25-06-02,19:53:00,21,52,0,160,0,0,0,0,0,0,0,34.17472,-119.25857,25/06/02 19:53:00
1,25-06-02,19:54:00,21,51,0,159,0,0,0,0,0,0,0,34.17472,-119.25857,25/06/02 19:54:00
1,25-06-02,19:55:00,21,52,0,160,0,0,0,0,0,0,0,34.17472,-119.25857,25/06/02 19:55:00
1,25-06-02,19:56:00,21,52,0,160,0,0,0,0,0,0,0,34.17472,-119.25857,25/06/02 19:56:00
1,25-06-02,19:57:00,21,52,0,160,0,0,0,0,0,0,0,34.17472,-119.25857,25/06/02 19:57:00
1,25-06-02,19:58:00,21,52,0,160,0,0,0,0,0,0,0,34.17472,-119.25857,25/06/02 19:58:00
1,25-06-02,19:59:00,21,52,0,159,0,0,0,0,0,0,0,34.17472,-119.25857,25/06/02 19:59:00
1,25-06-02,20:00:00,21,52,0,159,0,0,0,0,0,0,0,34.17472,-119.25857,25/06/02 20:00:00
1,25-06-02,20:01:00,21,52,0,160,0,0,0,0,0,0,0,34.17472,-119.25857,25/06/02 20:01:00
1,25-06-02,20:02:00,21,52,0,160,0,0,0,0,0,0,0,34.17472,-119.25857,25/06/02 20:02:00
1,25-06-02,20:03:00,21,52,0,160,0,0,0,0,0,0,0,34.17472,-119.25857,25/06/02 20:03:00
